"﻿""Название предмета""";Сезонность ниши;Дата обнаружения;Товары, шт.;Количество новинок;Товары с остатками, шт.;% товаров с остатками;Товары с продажами, шт.;% товаров с продажами;% товаров с продажами от товаров с движением;Бренды;Бренды с продажами;% брендов с продажами;Продавцы;Продавцы с продажами;% продавцов с продажами;Продажи, шт.;Выручка, ₽;Упущенная выручка, ₽;Упущенная выручка %;Потенциал, ₽;Суммарные остатки, шт.;Замороженный остаток, шт.;Замороженный остаток в цене, ₽;Замороженный остаток, %;Оборачиваемость, дн.;Минимальная цена, ₽;Максимальная цена, ₽;Средняя цена, ₽;Медианная цена, ₽;Минимальная цена с продажами, ₽;Максимальная цена с продажами, ₽;Средняя цена с продажами, ₽;Медианная цена с продажами, ₽;Средний рейтинг;Средний рейтинг с продажами;Процент выкупа, %
Бытовая техника / Техника для дома / Аксессуары и запчасти к технике для дома / Щетки и насадки для пылесосов;1;2020-01-04;51474;7530;1687;3,28;1262;2,45;74,81;378;183;48,41;10240;337;3,29;46384;37607657;11120058;22,82;48727715;65758;21738;20734721;33,06;42,53;0;197164;3622,54;697;133;17747;1606,45;820;4,72;4,59;92,1
Туризм, рыбалка, охота / Рыбалка / Приманки и снасти рыболовные / Мягкие приманки;2;2020-01-04;141505;9585;23900;16,89;11319;8;47,36;723;328;45,37;6223;703;11,3;103627;37495713;11752422;23,86;49248135;326714;227457;100300860;69,62;94,58;0;902927;730,55;493;50;6947;427,26;293;4,89;4,85;85,1
Аксессуары / Детские аксессуары / Аксессуары для девочек / Рюкзаки для девочек;2;2020-01-04;88031;21753;4328;4,92;2662;3,02;61,51;1352;439;32,47;27136;746;2,75;31910;37425569;14981904;28,59;52407473;87591;58020;76944847;66,24;82,35;77;825222;3670,27;1385;136;24570;2028,25;1386;4,83;4,63;73,7
Продукты питания / Масла, соусы и специи / Специи, семена и сушеные овощи / Смесь перцев;2;2020-01-04;7064;1168;1018;14,41;864;12,23;84,87;348;157;45,11;1359;198;14,57;91648;37380573;5568051;12,96;42948624;110865;36389;17947089;32,82;36,29;20;51930;1550,52;651;28;7674;625,77;457;4,8;4,84;97,6
Дом и сад / Посуда и кухонные принадлежности / Бар / Товары для охлаждения напитков;2;2020-01-04;69818;13064;1766;2,53;1214;1,74;68,74;935;263;28,13;22621;495;2,19;88831;37380071;7749440;17,17;45129511;149582;66726;30354716;44,61;50,52;0;3038338;915,38;313;57;26863;805,37;405,5;4,69;4,57;83,6
Бытовая техника / Климатическая техника / Водонагреватели / Водонагреватели проточные;2;2020-01-04;42651;6863;716;1,68;510;1,2;71,23;459;98;21,35;12547;229;1,83;11888;37368248;18576008;33,2;55944256;14330;5630;33155285;39,29;36,16;57;500000;11000,87;4813;242;64618;6753,35;2897;4,55;4,39;92,4
Автотовары / Уход за автомобилем / Краски и грунтовки для автомобиля / Автогрунтовки;2;2020-01-04;8857;844;1619;18,28;1101;12,43;68;314;103;32,8;1004;154;15,34;50014;37321513;4698167;11,18;42019680;117088;68145;52779508;58,2;70,23;77;256000;2684,41;1444;141;37051;1495,31;1081;4,88;4,84;85,9
Туризм, рыбалка, охота / Туризм и отдых на природе / Термосумки и аксессуары / Сумки-холодильники и изотермические контейнеры;2;2020-01-04;81202;15974;1903;2,34;1423;1,75;74,78;967;270;27,92;29126;444;1,52;43032;37307894;9102613;19,61;46410507;46174;18343;23545985;39,73;32,19;22;500000;3803,11;547;50;35306;2206,77;1096;4,77;4,73;82,6
Продукты питания / Орехи и снеки / Орехи / Миндаль;1;2020-01-04;501;0;130;25,95;120;23,95;92,31;117;51;43,59;142;60;42,25;33606;37306892;836880;2,19;38143772;36048;6211;5738164;17,23;32,18;179;7713;1551,57;1264;179;2374;1059,46;947,5;4,68;4,82;98,7
Красота и здоровье / Парфюмерия / Дымки и вуали парфюмированные;1;2020-10-23;23067;5580;655;2,84;527;2,28;80,46;453;98;21,63;8754;136;1,55;116957;37239759;4635934;11,07;41875693;89078;24404;15196641;27,4;22,85;68;963327;5820,69;1936;133;19946;819,91;541;4,58;4,41;83,3
Товары для курения и аксессуары / Товары для курения / Аксессуары для курения;1;2020-07-23;38723;8538;2001;5,17;1700;4,39;84,96;444;165;37,16;12606;221;1,75;48399;37221540;10485748;21,98;47707288;64380;25911;22362866;40,25;39,91;39;286616;2793,4;1004,5;39;19916;999,37;644;4,76;4,63;69,7
Продукты питания / Орехи и снеки / Снеки и закуски / Сушеные морские водоросли и спаржа;1;2020-01-04;14311;4892;466;3,26;421;2,94;90,34;230;90;39,13;6074;136;2,24;61953;37218172;4466050;10,71;41684222;81241;33282;30322628;40,97;39,34;44;888713;3674,3;785;143;6408;897,24;653;4,6;4,65;95,1
Автотовары / Автоаксессуары и принадлежности / Интерьер автомобиля / Подушки и матрасы автомобильные;2;2020-01-04;154688;25078;2776;1,79;1581;1,02;56,95;785;195;24,84;21704;391;1,8;39772;37160101;6566195;15,02;43726296;70421;33823;33327961;48,03;53,12;11;937266;2339,15;1173;162;11066;1217,63;904;4,74;4,74;82,2
Аксессуары / Женские аксессуары / Бижутерия женская / Пирсинг и грилзы бижутерные женские;1;2020-05-16;44623;9029;9444;21,16;6303;14,13;66,74;211;100;47,39;8369;215;2,57;89500;37118688;10740400;22,44;47859088;207723;119378;52270548;57,47;69,63;0;61882;777,5;324;61;5228;681,21;496;4,73;4,72;65,3
Строительство и ремонт / Крепеж и фурнитура / Крепежные изделия и метизы / Гвозди;1;2020-01-04;29687;4947;2510;8,45;1688;5,69;67,25;442;151;34,16;5573;300;5,38;43068;37104596;5964757;13,85;43069353;109103;64619;64600881;59,23;76;14;2768517;2526,18;1122;14;12306;1209,16;748,5;4,85;4,76;88,0
Детские товары / Игрушки и игры / Игрушки-антистресс / Прочие антистрессы;2;2020-01-04;212816;50889;7488;3,52;5124;2,41;68,43;1179;342;29,01;44213;1098;2,48;100956;37047690;16356727;30,63;53404417;164016;73505;41889373;44,82;48,74;0;972220;1279,91;276,5;12;11892;541,35;378,5;4,7;4,67;80,4
Продукты питания / Выпечка и сладости / Печенье, пряники и вафли / Вафли;2;2020-01-04;8384;901;530;6,32;449;5,36;84,72;291;91;31,27;983;134;13,63;53110;37020979;3146065;7,83;40167044;57251;18048;12776783;31,52;32,34;36;52753;2042,61;1029;124;33568;929,66;673;4,78;4,63;99,0
Автотовары / Запчасти для легковых автомобилей / Топливная система / ТНВД;2;2020-01-04;67860;6792;3791;5,59;2211;3,26;58,32;1227;404;32,93;6355;848;13,34;24123;36991541;34638657;48,36;71630198;34594;15311;32306775;44,26;43,02;20;997410;8492,21;4733,5;91;133597;4145,18;2364;4,7;4,34;89,2
Строительство и ремонт / Крепеж и фурнитура / Крепежные изделия и метизы / Шайбы и гайки;2;2020-01-04;66866;7020;15277;22,85;8903;13,31;58,28;757;288;38,04;7398;618;8,35;166303;36967749;7875685;17,56;44843434;561870;385563;94066738;68,62;101,36;0;1379571;889,71;307;17;10681;322,41;234;4,9;4,84;85,2
Аксессуары / Женские аксессуары / Зонты женские;2;2020-01-04;117473;24217;7562;6,44;3456;2,94;45,7;980;331;33,78;31170;613;1,97;39506;36930191;8370666;18,48;45300857;493181;441645;518078120;89,55;374,51;44;3025974;3391,41;1117;89;307035;2310,45;1293,5;4,6;4,69;70,6
Одежда / Детская одежда / Одежда для мальчиков / Термобелье для мальчиков;3;2020-01-04;8254;510;2576;31,21;2085;25,26;80,94;235;142;60,43;1173;167;14,24;30928;36921006;19204588;34,22;56125594;39966;20981;29678671;52,5;38,77;134;45444;1512,45;1016;155;10497;1644,71;1331;4,8;4,82;50,0
Аптека / Ортопедия / Ортопедические стельки для обуви;2;2020-01-04;8743;131;4742;54,24;2891;33,07;60,97;88;61;69,32;177;101;57,06;53890;36880758;6633516;15,24;43514274;115539;61451;68211963;53,19;64,32;98;27563;2599,07;2135;98;15133;2015,73;1402;4,86;4,81;82,9
Автотовары / Электроника для автомобиля / Радар-детекторы;2;2020-01-04;478;48;149;31,17;109;22,8;73,15;51;22;43,14;157;42;26,75;1932;36817445;4108002;10,04;40925447;4152;2595;30143217;62,5;64,47;199;620000;19408,67;9888,5;199;107883;12645,06;8794;4,58;4,17;89,7
Дом и сад / Хранение вещей / Органайзеры и разделители / Кофры;1;2020-01-04;156920;34587;1164;0,74;948;0,6;81,44;702;127;18,09;31662;302;0,95;47178;36765348;8413417;18,62;45178765;63537;27192;30129139;42,8;40,4;0;197614;988,09;335;150;11100;1110,93;921,5;4,68;4,73;82,8
Дом и сад / Дача и сад / Садовый декор / Грядки;3;2020-01-04;12572;1289;1530;12,17;918;7,3;60;180;58;32,22;2913;77;2,64;13769;36724906;10671776;22,52;47396682;66222;49894;175396801;75,34;144,28;148;192371;6366,46;4319,5;154;18149;3408,37;3112,5;4,77;4,83;86,7
Детские товары / Подгузники и гигиена / Детская косметика / Детские кремы и масла;1;2020-01-04;4749;1052;646;13,6;542;11,41;83,9;364;200;54,95;2568;239;9,31;113305;36690432;6523678;15,1;43214110;71884;10153;6767076;14,12;19,03;20;287430;4730,08;1108;98;287430;1497,07;612;4,83;4,81;97,0
Дом и сад / Цветы, растения и горшки / Защита и уход за растениями / Подвязки и опоры;2;2020-01-04;87820;18378;3331;3,79;2346;2,67;70,43;1152;316;27,43;23325;658;2,82;92049;36605343;13058415;26,29;49663758;153599;76947;36182791;50,1;50,06;0;298627;1464,41;387;25;19405;829,36;506;4,74;4,72;89,2
Товары для животных / Товары для собак / Средства для ухода за собаками / Зубные щетки и пасты для животных;1;2020-01-04;42061;16825;430;1,02;364;0,87;84,65;360;99;27,5;21057;171;0,81;60750;36418796;2293977;5,93;38712773;77044;12478;9243832;16,2;38,05;0;982260;6966,63;752;72;5173;797,35;564,5;4,72;4,74;89,8
Туризм, рыбалка, охота / Товары для охоты / Аксессуары и хранение оружия / Товары для ухода за оружием;1;2020-01-04;14561;1208;2997;20,58;2071;14,22;69,1;399;171;42,86;2443;295;12,08;54500;36362085;13841399;27,57;50203484;90715;39801;42194412;43,87;49,93;73;194456;2801,4;1233;73;18669;1339,53;833;4,84;4,72;71,2
Товары для животных / Товары для собак / Вольеры и будки для собак / Вольеры для собак;1;2020-01-04;40366;9602;380;0,94;316;0,78;83,16;293;43;14,68;14140;84;0,59;12177;36271366;5737655;13,66;42009021;18932;6526;16734170;34,47;46,64;76;861809;5151,34;2289;158;18862;3306,1;1944;4,68;4,71;91,7
Мебель / Столы и стулья / Туалетные столики и консоли;2;2020-01-04;48624;8749;855;1,76;626;1,29;73,22;496;120;24,19;8817;157;1,78;5197;36253182;36642197;50,27;72895379;7189;2782;23442781;38,7;41,5;17;2163196;17973,87;14869;1051;55338;8790,15;6946;4,53;4,61;80,0
Электроника / Компьютеры и периферия / Периферия для компьютеров / Носители для электронной подписи и устройства хранения паролей;2;2020-01-04;177;14;100;56,5;94;53,11;94;13;9;69,23;58;34;58,62;18491;36221390;3114654;7,92;39336044;20829;3438;6462696;16,51;33,79;395;13217;3115,49;2479;395;12264;2546,22;2153,5;4,87;4,54;87,5
Одежда / Женская одежда / Домашняя одежда женская / Футболки и туники домашние женские;2;2020-01-04;12574;250;6328;50,33;3977;31,63;62,85;266;168;63,16;584;221;37,84;39968;36217630;13498276;27,15;49715906;95231;66524;86139088;69,86;71,48;101;55023;1376,38;930;157;17836;1271,79;987;4,77;4,81;48,5
Детские товары / Подгузники и гигиена / Здоровье и уход за ребенком / Здоровье и гигиена малыша;1;2020-01-04;41102;10126;350;0,85;284;0,69;81,14;283;85;30,04;12266;140;1,14;35269;36148133;4629301;11,35;40777434;42462;14310;21831113;33,7;36,12;67;203639;2961,67;480;158;14915;1379,27;781,5;4,8;4,56;97,0
Электроника / Навигаторы / GPS-трекеры и GPS-маяки;2;2020-01-04;1883;198;632;33,56;516;27,4;81,65;142;85;59,86;488;237;48,57;20842;36104659;12848973;26,25;48953632;29666;16593;43086767;55,93;42,7;20;195259;8564,64;2663;151;55000;2713,04;1295;4,49;4,41;88,3
Одежда / Детская одежда / Одежда для новорожденных / Боди и песочники для новорожденных;2;2020-01-04;22145;1096;7949;35,9;5569;25,15;70,06;335;213;63,58;1094;289;26,42;39684;36025432;15632999;30,26;51658431;92096;62542;75022955;67,91;69,62;35;27927;920,56;727;35;8500;1010,39;865;4,85;4,86;53,4
Красота и здоровье / Аппаратная косметология и массаж / Косметологические аппараты / Микротоки и гальваника;2;2020-01-04;215;48;99;46,05;91;42,33;91,92;41;25;60,98;64;34;53,12;5918;36022086;6837737;15,95;42859823;7521;3405;22092946;45,27;38,13;211;74189;11663,63;5834;670;69539;14852,74;10331;4,73;4,67;87,2
Одежда / Мужская одежда / Нижнее белье мужское / Кальсоны и колготки мужские;3;2020-01-04;11773;2148;1716;14,58;1313;11,15;76,52;245;142;57,96;2734;186;6,8;32363;36005419;10629341;22,79;46634760;23327;6801;9011511;29,16;21,62;77;192270;2016,21;726;188;12479;1405,57;1032;4,66;4,73;55,7
Аптека / Товары для гигиены / Уход за полостью рта и отбеливание зубов;1;2020-01-04;22581;8651;567;2,51;476;2,11;83,95;340;110;32,35;11946;167;1,4;33599;35984876;7815629;17,84;43800505;50900;22183;32805604;43,58;45,45;56;885614;9900,28;4980,5;82;55871;3446,04;1580;4,53;4,39;90,7
Строительство и ремонт / Инструменты для ремонта и строительства / Измерительные инструменты / Тепловизоры и температурные сканеры;3;2020-01-05;14926;4217;123;0,82;98;0,66;79,67;217;24;11,06;5537;41;0,74;1627;35969335;20857964;36,7;56827299;2067;961;28024042;46,49;38,11;77;1242899;14789,52;2856,5;472;124640;31225,34;25638,5;4,77;4,47;88,8
Дом и сад / Аксессуары для ванной / Мыльницы;1;2020-01-04;69032;11979;3086;4,47;2088;3,02;67,66;1009;372;36,87;21186;743;3,51;135012;35966947;5202192;12,64;41169139;298146;151206;31025163;50,72;66,25;0;864345;1927,26;324;11;20257;734,81;472,5;4,73;4,65;80,3
Бытовая техника / Техника для кухни / Прочая кухонная техника / Термометры кулинарные;2;2020-01-04;42950;10226;698;1,63;561;1,31;80,37;666;147;22,07;17371;269;1,55;82259;35891193;2764179;7,15;38655372;96780;20898;17441437;21,59;35,3;22;828159;3227,19;670;99;24822;1661,1;593;4,73;4,74;89,5
Детские товары / Товары для кормления / Поильники;2;2020-01-04;60959;10456;1083;1,78;908;1,49;83,84;433;107;24,71;19582;167;0,85;58757;35858999;4593985;11,36;40452984;79362;29431;21146374;37,08;40,52;28;3087795;5364,87;491;191;366430;1329,45;703,5;4,76;4,73;91,8
Туризм, рыбалка, охота / Рыбалка / Лески и плетеные шнуры / Лески для рыбалки;2;2020-01-04;47465;2622;8030;16,92;4998;10,53;62,24;497;241;48,49;1615;453;28,05;114290;35759354;9611801;21,18;45371155;250669;144014;91793703;57,45;65,8;0;29294;928,83;573,5;71;5580;524,9;375;4,78;4,75;82,7
Бытовая техника / Техника для кухни / Прочая кухонная техника / Ножеточки электрические;2;2020-01-04;34096;9430;287;0,84;240;0,7;83,62;319;63;19,75;17019;118;0,69;12692;35699443;13526328;27,48;49225771;16386;6633;26799141;40,48;38,73;20;3251570;8000,22;1899;398;92649;5426,72;2604,5;4,41;4,48;87,7
Красота и здоровье / Макияж / Брови / Карандаши и лайнеры для бровей;2;2020-01-04;49459;7500;2199;4,45;1688;3,41;76,76;720;236;32,78;11806;345;2,92;132937;35658425;5689028;13,76;41347453;195193;80825;37444739;41,41;44,05;0;194157;1951,74;312;37;6386;522,82;396;4,72;4,77;89,4
Продукты питания / Выпечка и сладости / Печенье, пряники и вафли / Пряники;1;2020-01-04;10407;1378;1962;18,85;1652;15,87;84,2;246;116;47,15;619;180;29,08;67635;35599040;20900774;36,99;56499814;85586;37516;25408632;43,83;37,96;39;52734;1166,38;759;86;4492;662,89;580;4,88;4,85;96,6
Аксессуары / Женские аксессуары / Аксессуары для волос женские / Наборы аксессуаров для волос женские;1;2020-01-04;57313;8321;4905;8,56;3385;5,91;69,01;751;312;41,54;15764;939;5,96;135451;35582817;6264039;14,97;41846856;338259;215503;68460802;63,71;74,92;0;824831;803,7;233;20;6226;347,65;228;4,79;4,74;65,1
Детские товары / Игрушки и игры / Развивающие игры / Музыкальные инструменты детские;2;2020-01-04;57859;13449;1495;2,58;1163;2,01;77,79;586;154;26,28;23142;260;1,12;53696;35570203;8437006;19,17;44007209;64042;23466;24231087;36,64;35,78;20;844956;3334,75;1063;100;30030;1404,35;893;4,69;4,56;82,1
Автотовары / Запчасти для легковых автомобилей / Детали салона / Ручки и опоры в салон автомобиля;1;2020-07-16;73077;9364;5204;7,12;3378;4,62;64,91;940;303;32,23;10596;880;8,31;48478;35564839;18261571;33,93;53826410;69611;25043;21824515;35,98;43,08;11;300000;1760,34;869;50;300000;1364,47;885;4,74;4,55;88,5
Автотовары / Запчасти для легковых автомобилей / Кузовные запчасти / Двери автомобильные;2;2020-07-26;107168;15797;7688;7,17;4521;4,22;58,81;1100;382;34,73;12450;989;7,94;44145;35419909;23839698;40,23;59259607;131085;85753;60154744;65,42;89,08;33;274269;2671,3;1169;83;51178;1428,01;796;4,77;4,64;87,9
Спорт и отдых / Фитнес и йога / Утяжелители и пояса для отягощений;1;2020-01-04;21202;5078;1052;4,96;800;3,77;76,05;336;110;32,74;7651;152;1,99;24980;35418027;6683681;15,88;42101708;38708;16836;27204973;43,49;46,49;77;971656;3698,24;1363;128;23725;2379,39;1315,5;4,77;4,78;77,6
Строительство и ремонт / Инструменты для ремонта и строительства / Монтажные и крепежные инструменты / Монтажные инструменты;1;2020-01-04;51115;10757;1195;2,34;887;1,74;74,23;892;220;24,66;20097;424;2,11;37113;35390870;9590155;21,32;44981025;63335;30274;47461055;47,8;51,2;0;15788876;2816,28;704;121;36571;2030,99;973;4,73;4,62;90,7
Хобби и творчество / Настольные и карточные игры / Аксессуары для настольных игр;2;2020-01-04;137775;25732;10152;7,37;6977;5,06;68,73;685;241;35,18;22865;653;2,86;61678;35373195;30820044;46,56;66193239;95072;42037;30083306;44,22;46,24;0;963193;1810,69;648;20;24890;938,88;596;4,85;4,76;68,4
Продукты питания / Сухие завтраки, мюсли и каши быстрого приготовления / Каши быстрого приготовления;2;2020-01-04;5406;0;846;15,65;775;14,34;91,61;194;92;47,42;385;125;32,47;84960;35327522;4579147;11,47;39906669;99772;28978;16891037;29,04;35,23;21;9942;1106,18;840;105;2955;592,3;541;4,86;4,84;95,5
Детские товары / Детская комната / Активность и игры в комнате / Игровые палатки и домики;2;2020-01-04;43641;10697;825;1,89;632;1,45;76,61;416;96;23,08;17134;135;0,79;13780;35267809;13465463;27,63;48733272;16272;5315;15093422;32,66;35,43;37;228985;6421,33;2727,5;325;19200;4765,9;3329,5;4,75;4,73;81,0
Дом и сад / Дача и сад / Садовый инструмент / Секаторы и сучкорезы;2;2020-01-04;65125;11917;2361;3,63;1390;2,13;58,87;1108;297;26,81;19421;588;3,03;53812;35263521;10988472;23,76;46251993;100349;57369;54852899;57,17;55,94;0;49800416;4057,02;703;80;68098;2663,15;1380;4,7;4,46;85,5
Автотовары / Автоаксессуары и принадлежности / Аварийные принадлежности / Канистры для бензина;2;2020-01-04;29697;5705;1167;3,93;874;2,94;74,89;428;111;25,93;11757;244;2,08;31465;35198018;8005730;18,53;43203748;44526;17066;19331430;38,33;42,45;77;197195;4287,75;2803;144;50000;2074,02;1574,5;4,7;4,66;87,8
Аксессуары / Мужские аксессуары / Платки и шарфы мужские;2;2020-01-04;28676;5133;2770;9,66;1946;6,79;70,25;591;256;43,32;9191;340;3,7;46057;35196361;14076442;28,57;49272803;37738;15245;19296482;40,4;24,58;45;234723;1905,34;558;130;25433;1569,36;1106,5;4,74;4,66;69,4
Автотовары / Запчасти для легковых автомобилей / Система очистки стекол и фар / Комплектующие стеклоомывателя;2;2020-07-07;43274;4516;5709;13,19;3873;8,95;67,84;880;385;43,75;5076;936;18,44;113248;35145272;14679674;29,46;49824946;220831;97403;29963536;44,11;58,5;20;158091;1851,41;1042;50;9980;807,54;552;4,65;4,37;90,2
Строительство и ремонт / Отделочные материалы / Обои и сопутствующие материалы / Клеи для обоев;1;2020-01-04;4365;565;915;20,96;701;16,06;76,61;172;80;46,51;1021;166;16,26;80596;35106891;2033219;5,47;37140110;160142;75017;38201372;46,84;59,61;60;500000;3024,17;837;157;6969;865,76;591;4,84;4,77;88,0
Продукты питания / Выпечка и сладости / Зефир и пастила / Зефир и безе;2;2020-01-04;6273;512;768;12,24;674;10,74;87,76;236;66;27,97;539;103;19,11;61298;35106084;11011012;23,88;46117096;54257;16691;9706216;30,76;26,55;40;52734;2120,87;1175;168;5845;751,91;635;4,82;4,74;98,9
Детские товары / Игрушки и игры / Игрушки для малышей / Бизиборды;2;2020-01-04;61201;14973;814;1,33;611;1;75,06;539;134;24,86;25112;215;0,86;19849;35077154;3406677;8,85;38483831;42399;19968;38062089;47,1;64,08;0;3100160;2370;882;162;17303;2006,33;1263;4,83;4,63;82,3
Бытовая техника / Техника для красоты и здоровья / Массажное оборудование и аксессуары / Массажные подушки;2;2020-01-04;62461;15910;397;0,64;298;0,48;75,06;372;78;20,97;29038;153;0,53;10635;35061494;5254817;13,03;40316311;10781;3850;13944800;35,71;30,41;50;969569;16620,35;6371,5;234;27603;3594,94;1616;4,6;4,45;89,3
